Entity,Flights
United Kingdom,"5,936"
Spain,"5,697"
Germany,"5,124"
France,"4,435"
Italy,"4,391"
Türkiye,"3,508"
Greece,"1,827"
Netherlands,"1,667"
Portugal,"1,411"
Poland,"1,372"
Switzerland,"1,337"
Norway,"1,210"
Ireland,968
Austria,947
Belgium,943
Denmark,925
Sweden,813
Morocco,730
Romania,554
Czech Republic,501
Finland,466
Croatia,459
Hungary,445
Israel,443
Serbia & Montenegro,343
Cyprus,305
Iceland,224
Bulgaria,221
Luxembourg,209
Georgia,205
Albania,204
Malta,199
Latvia,179
Lithuania,157
Armenia,126
Estonia,122
Moldova,116
Slovakia,85
North Macedonia,78
Slovenia,71
Bosnia-Herzegovina,60
Ukraine,0
