Entity,Flights
United Kingdom,"4,370"
Germany,"4,230"
Spain,"3,799"
France,"3,239"
Italy,"2,639"
Türkiye,"2,449"
Netherlands,"1,393"
Norway,"1,324"
Switzerland,"1,020"
Poland,953
Portugal,853
Sweden,803
Belgium,793
Greece,744
Denmark,736
Austria,723
Ireland,579
Morocco,573
Romania,472
Finland,424
Hungary,347
Czech Republic,313
Israel,305
Serbia & Montenegro,237
Cyprus,192
Luxembourg,183
Bulgaria,162
Georgia,162
Latvia,144
Croatia,143
Malta,135
Albania,127
Lithuania,114
Armenia,100
Estonia,96
Moldova,81
Slovakia,58
Slovenia,55
North Macedonia,54
Bosnia-Herzegovina,50
Ukraine,2
